IDUsuario,FechaInicioSuscripcion,DuracionSuscripcionMeses,PlanContratado,Region,HorasSemanales,GenerosFavoritos,Edad,Dispositivo,PrecioMensual
1428,2021-05-07,28,Prime Video Estándar,Aragón,1.8,Action,25,Tablet,9.99
1429,2021-05-16,42,Prime Video Básico,Galicia,14.6,Horror,34,Smart TV,4.99
1430,2020-06-19,43,Prime Video Básico,Galicia,14.4,Sci-Fi,27,Tablet,4.99
1431,2022-11-24,31,Prime Video Estándar,Madrid,6.2,Horror;Comedy,26,Tablet,9.99
1432,2022-01-23,34,Prime Video Básico,Galicia,23.9,Thriller;Action,62,Smartphone,4.99
1433,2023-10-07,19,Prime Video Estándar,Andalucía,13.7,Sci-Fi;Romance;Drama,39,Smartphone,9.99
1434,2022-04-11,15,Prime Video Channels,Comunidad Valenciana,4.0,Romance;Thriller;Horror,66,Smartphone,7.99
1435,2021-09-19,54,Prime Video Básico,Andalucía,21.3,Romance,52,Smart TV,4.99
1436,2023-07-22,13,Prime Video Estándar,Andalucía,17.6,Comedy;Action,26,Smartphone,9.99
1437,2022-09-13,21,Prime Video Básico,Galicia,21.1,Sci-Fi,46,Tablet,4.99
1438,2022-06-30,59,Prime Video Básico,Andalucía,1.7,Action;Sci-Fi;Horror,55,Smart TV,4.99
1439,2020-10-20,41,Prime Video Básico,Cataluña,18.6,Romance;Action,31,Smart TV,4.99
1440,2021-11-04,17,Prime Video Premium,Madrid,8.5,Thriller;Comedy,29,Smartphone,12.99
1441,2021-09-20,8,Prime Video Estándar,Madrid,3.3,Thriller,59,Laptop,9.99
1442,2022-06-04,25,Prime Video Premium,Cataluña,6.0,Action,63,Smartphone,12.99
1443,2021-08-23,11,Prime Video Básico,Galicia,10.9,Romance;Horror;Thriller,35,Smart TV,4.99
1444,2021-06-12,48,Prime Video Estándar,País Vasco,7.2,Thriller;Horror;Romance,28,Smartphone,9.99
1445,2021-09-07,40,Prime Video Premium,Castilla y León,3.3,Thriller;Horror;Romance,32,Tablet,12.99
1446,2024-06-28,41,Prime Video Básico,Madrid,21.9,Drama,25,Smartphone,4.99
1447,2022-07-17,20,Prime Video Estándar,País Vasco,14.4,Sci-Fi;Romance;Drama,33,Smartphone,9.99
1448,2020-06-18,29,Prime Video Básico,Comunidad Valenciana,8.9,Thriller,60,Smartphone,4.99
1449,2020-01-29,52,Prime Video Básico,Andalucía,11.3,Comedy;Thriller,25,Tablet,4.99
1450,2023-07-19,36,Prime Video Básico,Andalucía,11.4,Comedy,39,Smartphone,4.99
1451,2021-12-18,35,Prime Video Básico,Cataluña,3.2,Action;Drama;Sci-Fi,39,Smartphone,4.99
1452,2022-04-25,25,Prime Video Estándar,Madrid,20.8,Sci-Fi;Comedy;Romance,66,Smartphone,9.99
1453,2024-04-28,49,Prime Video Estándar,Andalucía,14.9,Comedy;Drama;Romance,34,Smartphone,9.99
1454,2021-05-16,29,Prime Video Básico,Castilla y León,12.5,Romance,51,Laptop,4.99
1455,2024-05-21,29,Prime Video Básico,Castilla y León,15.8,Thriller;Romance;Action,57,Smartphone,4.99
1456,2023-07-16,23,Prime Video Básico,Madrid,9.4,Action,22,Smartphone,4.99
1457,2023-09-23,16,Prime Video Estándar,Madrid,17.8,Romance;Thriller;Comedy,34,Console,9.99
1458,2022-11-24,10,Prime Video Estándar,Madrid,10.5,Thriller,28,Smart TV,9.99
1459,2021-08-31,31,Prime Video Básico,Comunidad Valenciana,15.7,Drama,31,Tablet,4.99
1460,2022-09-28,7,Prime Video Estándar,Madrid,16.1,Thriller;Romance;Sci-Fi,33,Smart TV,9.99
1461,2023-09-19,21,Prime Video Estándar,Galicia,15.3,Comedy,32,Smart TV,9.99
1462,2023-04-01,40,Prime Video Básico,País Vasco,1.2,Comedy;Romance;Thriller,31,Smartphone,4.99
1463,2023-08-12,49,Prime Video Básico,Madrid,6.2,Sci-Fi;Romance,28,Smartphone,4.99
1464,2022-05-26,43,Prime Video Básico,Murcia,24.9,Thriller,27,Tablet,4.99
1465,2020-12-30,27,Prime Video Premium,Cataluña,23.8,Drama,28,Smartphone,12.99
1466,2022-03-17,56,Prime Video Básico,Madrid,12.0,Thriller,34,Tablet,4.99
1467,2024-05-31,44,Prime Video Básico,Andalucía,23.9,Action,57,Laptop,4.99
1468,2023-08-30,27,Prime Video Estándar,Galicia,21.8,Romance;Thriller;Sci-Fi,26,Smart TV,9.99
1469,2022-05-26,53,Prime Video Estándar,Cataluña,10.6,Comedy,35,Tablet,9.99
1470,2023-10-05,23,Prime Video Básico,Cataluña,19.3,Sci-Fi;Drama;Thriller,55,Smart TV,4.99
1471,2021-09-28,4,Prime Video Básico,Aragón,8.7,Romance;Drama,35,Console,4.99
1472,2023-01-19,54,Prime Video Premium,Castilla y León,2.9,Romance;Thriller,31,Smartphone,12.99
1473,2020-12-17,12,Prime Video Premium,Aragón,12.2,Sci-Fi;Romance;Action,31,Tablet,12.99
1474,2021-01-08,5,Prime Video Estándar,Andalucía,12.2,Sci-Fi;Action,29,Laptop,9.99
1475,2020-09-18,3,Prime Video Básico,Aragón,1.7,Drama;Romance;Action,25,Laptop,4.99
1476,2022-09-30,37,Prime Video Premium,Murcia,24.4,Horror;Comedy,33,Smartphone,12.99
1477,2020-07-17,36,Prime Video Básico,Andalucía,2.5,Romance;Sci-Fi;Horror,39,Smart TV,4.99
1478,2023-03-18,58,Prime Video Básico,Madrid,8.7,Thriller;Comedy,68,Tablet,4.99
1479,2023-11-08,55,Prime Video Estándar,Madrid,1.8,Thriller;Drama,56,Smart TV,9.99
1480,2020-05-23,51,Prime Video Estándar,Madrid,19.7,Action;Romance;Drama,25,Smartphone,9.99
1481,2023-09-04,35,Prime Video Estándar,Andalucía,14.1,Thriller;Horror;Sci-Fi,56,Smartphone,9.99
1482,2021-08-05,58,Prime Video Estándar,País Vasco,12.1,Sci-Fi;Drama,52,Smartphone,9.99
1483,2024-02-29,40,Prime Video Básico,Madrid,21.0,Horror,25,Smart TV,4.99
1484,2022-12-29,20,Prime Video Estándar,Madrid,9.1,Thriller,22,Tablet,9.99
1485,2023-11-14,53,Prime Video Básico,Madrid,7.8,Romance;Thriller,50,Smartphone,4.99
1486,2024-09-22,14,Prime Video Estándar,Comunidad Valenciana,4.2,Action;Sci-Fi,41,Smartphone,9.99
1487,2022-02-09,55,Prime Video Básico,Cataluña,19.0,Drama;Comedy;Romance,28,Smartphone,4.99
1488,2023-08-29,57,Prime Video Básico,Aragón,4.5,Thriller,35,Smartphone,4.99
1489,2022-01-16,36,Prime Video Premium,Castilla y León,5.3,Comedy;Horror,30,Smart TV,12.99
1490,2020-09-30,20,Prime Video Básico,Murcia,15.7,Romance;Drama,57,Smartphone,4.99
1491,2024-08-25,23,Prime Video Channels,Galicia,8.0,Comedy,22,Laptop,7.99
1492,2022-02-03,10,Prime Video Estándar,Madrid,4.0,Sci-Fi,34,Laptop,9.99
1493,2022-10-02,49,Prime Video Estándar,Murcia,19.9,Thriller;Comedy;Romance,60,Smartphone,9.99
1494,2022-05-16,36,Prime Video Estándar,Madrid,4.0,Comedy;Horror;Drama,34,Laptop,9.99
1495,2021-05-15,56,Prime Video Básico,Cataluña,14.6,Action;Thriller,61,Smart TV,4.99
1496,2022-11-27,26,Prime Video Básico,Galicia,4.4,Drama,18,Smart TV,4.99
1497,2020-03-11,52,Prime Video Básico,Canarias,1.8,Thriller,61,Smartphone,4.99
1498,2021-05-11,53,Prime Video Básico,Cataluña,9.9,Drama;Romance;Thriller,33,Smartphone,4.99
1499,2021-07-21,52,Prime Video Básico,Andalucía,22.4,Sci-Fi,25,Smartphone,4.99
1500,2023-11-04,23,Prime Video Básico,Madrid,2.4,Action,47,Smartphone,4.99
1501,2024-03-10,7,Prime Video Básico,Madrid,8.6,Action,38,Smartphone,4.99
1502,2020-03-15,11,Prime Video Básico,Galicia,19.9,Thriller,50,Smartphone,4.99
1503,2024-12-04,9,Prime Video Básico,Andalucía,11.5,Comedy,27,Laptop,4.99
1504,2022-03-11,35,Prime Video Estándar,Madrid,9.7,Thriller;Horror,35,Smart TV,9.99
1505,2020-08-25,52,Prime Video Estándar,Madrid,5.5,Action;Thriller;Drama,31,Smartphone,9.99
1506,2023-12-18,30,Prime Video Básico,Andalucía,3.1,Comedy;Drama;Romance,31,Tablet,4.99
1507,2020-01-02,30,Prime Video Básico,Murcia,14.1,Drama;Comedy,31,Smartphone,4.99
1508,2023-03-14,29,Prime Video Básico,Canarias,3.4,Sci-Fi;Action;Thriller,69,Smartphone,4.99
1509,2022-06-05,14,Prime Video Estándar,Madrid,10.0,Comedy;Thriller;Sci-Fi,26,Smartphone,9.99
1510,2023-11-19,56,Prime Video Estándar,Aragón,15.6,Comedy,65,Smartphone,9.99
1511,2020-04-20,36,Prime Video Básico,Madrid,3.9,Sci-Fi,43,Smartphone,4.99
1512,2024-09-06,51,Prime Video Premium,Madrid,19.2,Thriller;Drama;Comedy,63,Tablet,12.99
1513,2020-03-25,58,Prime Video Channels,Comunidad Valenciana,16.0,Action;Horror;Drama,49,Smartphone,7.99
1514,2024-11-21,22,Prime Video Premium,Cataluña,17.4,Thriller,35,Smartphone,12.99
1515,2022-05-17,1,Prime Video Básico,Andalucía,5.1,Comedy;Horror;Action,23,Smartphone,4.99
1516,2022-08-07,7,Prime Video Premium,País Vasco,1.6,Sci-Fi;Action,64,Tablet,12.99
1517,2021-03-05,29,Prime Video Básico,Galicia,18.2,Drama;Romance,30,Smartphone,4.99
1518,2024-06-28,20,Prime Video Básico,Cataluña,20.6,Horror;Thriller;Drama,26,Smart TV,4.99
1519,2024-03-30,13,Alquiler de películas,Comunidad Valenciana,4.6,Romance;Drama;Sci-Fi,28,Smartphone,3.99
1520,2023-04-10,39,Prime Video Premium,Andalucía,15.6,Romance;Sci-Fi;Drama,61,Smartphone,12.99
1521,2022-02-18,3,Prime Video Estándar,Cataluña,1.3,Horror;Comedy;Sci-Fi,38,Tablet,9.99
1522,2022-01-03,35,Prime Video Estándar,Galicia,7.6,Action;Drama,34,Smartphone,9.99
1523,2023-08-18,46,Prime Video Estándar,Cataluña,20.6,Romance;Drama,24,Smartphone,9.99
1524,2023-02-02,28,Prime Video Básico,Madrid,12.7,Comedy;Horror,44,Smart TV,4.99
1525,2020-10-25,54,Prime Video Básico,Galicia,7.9,Drama;Comedy;Horror,35,Smartphone,4.99
1526,2022-10-26,2,Prime Video Básico,Madrid,15.6,Romance,21,Tablet,4.99
1527,2024-10-30,19,Prime Video Básico,Canarias,20.3,Drama;Thriller;Romance,28,Smartphone,4.99
1528,2020-07-04,41,Prime Video Estándar,Cataluña,23.5,Comedy;Romance;Horror,27,Tablet,9.99
1529,2024-05-31,43,Prime Video Estándar,Cataluña,4.0,Comedy;Sci-Fi,25,Smart TV,9.99
1530,2024-09-11,21,Prime Video Básico,Madrid,7.4,Comedy,31,Laptop,4.99
1531,2022-12-15,4,Prime Video Básico,Comunidad Valenciana,18.4,Horror;Action;Comedy,33,Smartphone,4.99
1532,2023-09-08,2,Prime Video Básico,Madrid,16.6,Action;Horror,51,Tablet,4.99
1533,2023-11-04,43,Prime Video Básico,Madrid,4.8,Sci-Fi;Romance;Thriller,31,Smart TV,4.99
1534,2023-04-06,45,Prime Video Básico,Cataluña,20.1,Horror;Romance,32,Smart TV,4.99
1535,2020-11-26,18,Prime Video Básico,Galicia,11.2,Drama,52,Smart TV,4.99
1536,2022-07-27,43,Prime Video Channels,Comunidad Valenciana,6.0,Action;Romance;Horror,34,Laptop,7.99
1537,2024-06-02,54,Prime Video Estándar,Canarias,6.1,Comedy;Drama,60,Smart TV,9.99
1538,2021-05-20,48,Prime Video Básico,Andalucía,7.0,Thriller;Horror,62,Smartphone,4.99
1539,2024-11-12,19,Prime Video Estándar,Cataluña,16.9,Romance,39,Tablet,9.99
1540,2021-10-31,47,Prime Video Estándar,Andalucía,17.7,Sci-Fi;Horror,32,Smartphone,9.99
1541,2020-09-19,45,Prime Video Básico,Madrid,22.7,Romance;Drama,53,Smart TV,4.99
1542,2021-01-29,9,Prime Video Básico,Andalucía,6.8,Horror,35,Tablet,4.99
1543,2022-06-07,10,Prime Video Premium,Aragón,8.3,Comedy,39,Smartphone,12.99
1544,2022-05-19,16,Prime Video Estándar,Murcia,22.7,Horror;Romance;Thriller,45,Smartphone,9.99
1545,2024-04-08,22,Prime Video Premium,Castilla y León,15.8,Horror;Action;Thriller,42,Tablet,12.99
1546,2021-03-02,41,Prime Video Estándar,Cataluña,21.4,Romance;Horror;Action,25,Smartphone,9.99
1547,2022-10-13,15,Prime Video Estándar,Andalucía,9.1,Romance;Drama;Comedy,49,Smartphone,9.99
1548,2022-11-22,58,Prime Video Básico,Comunidad Valenciana,3.2,Romance;Thriller,54,Tablet,4.99
1549,2021-11-20,18,Prime Video Básico,Andalucía,15.4,Horror;Sci-Fi,18,Smartphone,4.99
1550,2023-07-17,18,Prime Video Básico,Madrid,16.1,Romance;Horror;Comedy,42,Smart TV,4.99
1551,2020-05-21,53,Prime Video Básico,Comunidad Valenciana,9.4,Comedy;Thriller;Sci-Fi,29,Smartphone,4.99
1552,2024-04-17,24,Prime Video Básico,Comunidad Valenciana,4.2,Romance;Sci-Fi;Action,59,Smartphone,4.99
1553,2020-07-03,25,Prime Video Estándar,Cataluña,21.7,Comedy;Horror,35,Smartphone,9.99
1554,2022-10-20,58,Prime Video Básico,Madrid,11.5,Horror;Romance;Thriller,38,Smartphone,4.99
1555,2022-09-13,14,Prime Video Básico,Aragón,16.5,Sci-Fi,23,Smartphone,4.99
1556,2021-10-08,22,Prime Video Premium,Andalucía,23.3,Romance,35,Smartphone,12.99
1557,2020-09-17,21,Prime Video Básico,Madrid,6.9,Comedy,30,Smartphone,4.99
1558,2024-07-12,34,Prime Video Básico,País Vasco,12.8,Drama,35,Smartphone,4.99
1559,2022-12-12,31,Prime Video Básico,Canarias,21.4,Comedy;Romance,34,Smartphone,4.99
1560,2021-05-09,26,Prime Video Básico,Cataluña,21.8,Thriller,34,Smartphone,4.99
1561,2023-07-03,3,Prime Video Básico,Madrid,23.2,Horror,58,Smart TV,4.99
1562,2022-07-05,52,Prime Video Básico,Cataluña,23.5,Action,18,Smartphone,4.99
1563,2023-01-28,34,Prime Video Básico,Aragón,9.7,Drama;Horror,30,Console,4.99
1564,2022-10-03,49,Prime Video Estándar,Cataluña,3.9,Drama;Action,69,Smart TV,9.99
1565,2020-10-12,14,Alquiler de películas,Cataluña,13.4,Action,27,Smartphone,3.99
1566,2022-08-03,18,Prime Video Básico,Canarias,24.3,Horror,33,Laptop,4.99
1567,2022-12-10,11,Prime Video Básico,Andalucía,10.5,Comedy;Drama,18,Smartphone,4.99
1568,2024-12-27,37,Prime Video Premium,Madrid,17.2,Horror,26,Smartphone,12.99
1569,2024-07-11,31,Prime Video Básico,Cataluña,14.1,Drama;Action,67,Tablet,4.99
1570,2022-10-05,52,Prime Video Básico,Madrid,19.6,Sci-Fi,60,Smart TV,4.99
1571,2022-02-28,20,Prime Video Channels,País Vasco,17.7,Action;Horror;Romance,69,Smartphone,7.99
1572,2024-10-18,27,Prime Video Estándar,Galicia,10.6,Horror;Thriller;Sci-Fi,33,Laptop,9.99
1573,2019-12-30,57,Prime Video Básico,Cataluña,18.0,Thriller;Comedy;Action,29,Smartphone,4.99
1574,2022-11-28,57,Prime Video Channels,Madrid,18.5,Comedy;Horror;Thriller,40,Smart TV,7.99
1575,2021-09-02,26,Prime Video Estándar,Galicia,4.0,Sci-Fi;Drama,46,Smartphone,9.99
1576,2024-09-18,16,Prime Video Estándar,Castilla y León,22.1,Romance;Action,25,Tablet,9.99
1577,2023-03-30,23,Prime Video Básico,Galicia,13.3,Thriller;Action,63,Smartphone,4.99
1578,2020-01-04,36,Prime Video Premium,Cataluña,17.8,Action;Sci-Fi,55,Smartphone,12.99
1579,2021-04-17,52,Prime Video Básico,Andalucía,13.5,Thriller,31,Smartphone,4.99
1580,2020-08-25,55,Prime Video Estándar,Cataluña,4.7,Comedy,30,Tablet,9.99
1581,2022-08-04,14,Prime Video Básico,Andalucía,9.9,Drama;Comedy,25,Smartphone,4.99
1582,2022-05-08,8,Prime Video Premium,Comunidad Valenciana,22.8,Horror;Action,40,Smartphone,12.99
1583,2024-09-16,33,Prime Video Básico,País Vasco,12.2,Thriller;Horror;Action,58,Tablet,4.99
1584,2020-07-10,9,Prime Video Básico,Madrid,3.5,Drama;Thriller;Horror,51,Tablet,4.99
1585,2021-01-25,52,Alquiler de películas,Andalucía,4.2,Horror,28,Smartphone,3.99
1586,2022-03-25,56,Prime Video Básico,Madrid,14.2,Drama;Romance,59,Tablet,4.99
1587,2020-07-18,43,Prime Video Básico,Cataluña,9.8,Action;Romance,31,Smartphone,4.99
1588,2023-05-18,13,Prime Video Básico,Madrid,7.6,Romance,28,Smartphone,4.99
1589,2022-04-20,15,Alquiler de películas,Madrid,4.0,Romance;Horror;Sci-Fi,55,Smartphone,3.99
1590,2022-02-05,55,Prime Video Premium,Comunidad Valenciana,6.9,Sci-Fi,35,Smartphone,12.99
1591,2021-05-27,31,Prime Video Estándar,Andalucía,9.1,Horror,30,Smartphone,9.99
1592,2020-08-31,36,Prime Video Básico,Murcia,11.2,Drama;Thriller;Comedy,20,Laptop,4.99
1593,2021-01-20,59,Alquiler de películas,Cataluña,9.1,Sci-Fi;Romance,33,Smartphone,3.99
1594,2023-04-28,26,Prime Video Básico,Madrid,23.4,Action,54,Smartphone,4.99
1595,2022-09-03,17,Prime Video Básico,Murcia,21.5,Thriller;Drama;Action,49,Smart TV,4.99
1596,2021-10-17,53,Prime Video Básico,Madrid,4.9,Romance;Thriller;Action,33,Smart TV,4.99
1597,2020-08-18,16,Prime Video Estándar,Madrid,11.6,Horror,32,Smartphone,9.99
1598,2023-04-12,6,Prime Video Estándar,Murcia,14.3,Horror;Action,62,Console,9.99
1599,2024-05-31,1,Prime Video Estándar,Madrid,20.5,Thriller,64,Smartphone,9.99
1600,2023-08-26,25,Prime Video Básico,Cataluña,19.3,Romance;Horror;Sci-Fi,51,Laptop,4.99
1601,2022-09-24,41,Prime Video Básico,Andalucía,15.4,Action;Comedy;Sci-Fi,62,Smart TV,4.99
1602,2020-12-27,47,Prime Video Estándar,Castilla y León,12.6,Sci-Fi;Romance;Action,52,Tablet,9.99
1603,2022-05-10,33,Prime Video Estándar,Andalucía,14.9,Action,34,Smart TV,9.99
1604,2020-12-01,22,Prime Video Básico,Cataluña,20.0,Sci-Fi;Drama;Comedy,63,Laptop,4.99
1605,2023-03-24,50,Prime Video Básico,Galicia,19.4,Sci-Fi;Thriller;Drama,40,Smart TV,4.99
1606,2024-02-08,52,Prime Video Básico,Madrid,11.3,Sci-Fi;Action;Horror,31,Tablet,4.99
1607,2023-03-04,29,Prime Video Básico,Cataluña,24.0,Thriller;Comedy,26,Smartphone,4.99
1608,2022-03-11,36,Prime Video Básico,Comunidad Valenciana,11.6,Action;Sci-Fi;Drama,28,Smartphone,4.99
1609,2024-06-05,39,Prime Video Básico,Cataluña,15.3,Sci-Fi,64,Tablet,4.99
1610,2022-07-17,47,Compra de películas,Aragón,14.1,Horror;Romance;Comedy,34,Smartphone,14.99
1611,2022-04-18,55,Prime Video Premium,Andalucía,4.4,Thriller;Horror;Sci-Fi,29,Tablet,12.99
1612,2022-01-27,8,Prime Video Básico,Madrid,6.3,Sci-Fi;Drama;Action,27,Smartphone,4.99
1613,2023-04-07,55,Prime Video Premium,Cataluña,6.7,Romance;Thriller,20,Tablet,12.99
1614,2020-07-01,41,Prime Video Básico,Madrid,11.4,Sci-Fi,32,Tablet,4.99
1615,2021-06-09,13,Prime Video Básico,Castilla y León,17.9,Thriller;Action;Drama,69,Smart TV,4.99
1616,2024-03-29,60,Prime Video Estándar,Andalucía,19.3,Horror;Drama,35,Smartphone,9.99
1617,2022-06-07,7,Prime Video Básico,Madrid,2.0,Drama;Sci-Fi,53,Smartphone,4.99
1618,2021-01-20,16,Prime Video Estándar,Comunidad Valenciana,6.6,Comedy;Thriller,33,Console,9.99
1619,2020-01-12,45,Alquiler de películas,Comunidad Valenciana,15.3,Comedy;Horror,52,Smartphone,3.99
1620,2024-12-24,14,Prime Video Básico,Castilla y León,15.6,Drama;Romance,41,Laptop,4.99
1621,2023-08-16,35,Prime Video Básico,Cataluña,24.2,Drama;Horror;Romance,24,Laptop,4.99
1622,2023-06-27,12,Prime Video Básico,Andalucía,5.3,Sci-Fi;Romance;Drama,60,Smartphone,4.99
1623,2024-03-17,30,Prime Video Estándar,Madrid,15.0,Comedy;Action;Horror,47,Smartphone,9.99
1624,2023-02-14,4,Prime Video Básico,Cataluña,18.4,Romance;Drama,27,Smartphone,4.99
1625,2021-07-07,16,Prime Video Básico,Cataluña,17.8,Comedy;Horror;Sci-Fi,43,Smart TV,4.99
1626,2020-01-14,36,Prime Video Básico,Andalucía,4.5,Action;Thriller,21,Smartphone,4.99
1627,2022-09-03,54,Prime Video Estándar,Madrid,14.9,Drama;Action,35,Smartphone,9.99
1628,2023-09-25,30,Prime Video Estándar,Madrid,23.8,Horror,53,Smartphone,9.99
1629,2022-10-19,39,Prime Video Básico,Madrid,18.6,Drama;Romance;Action,23,Smart TV,4.99
1630,2024-03-29,7,Prime Video Básico,Comunidad Valenciana,24.0,Comedy;Action;Thriller,18,Smartphone,4.99
1631,2024-10-12,11,Prime Video Estándar,Castilla y León,20.2,Sci-Fi;Drama;Comedy,48,Smart TV,9.99
1632,2020-10-04,21,Prime Video Básico,Andalucía,7.2,Horror;Thriller,44,Tablet,4.99
1633,2021-07-30,14,Prime Video Channels,Andalucía,13.3,Thriller;Action,61,Tablet,7.99
1634,2024-06-17,13,Prime Video Estándar,Comunidad Valenciana,23.7,Romance;Comedy;Thriller,64,Tablet,9.99
1635,2022-02-02,54,Prime Video Premium,Andalucía,3.1,Comedy;Drama;Action,26,Tablet,12.99
1636,2021-04-22,33,Prime Video Básico,Comunidad Valenciana,4.9,Drama;Thriller,33,Smartphone,4.99
1637,2022-09-14,58,Prime Video Estándar,Castilla y León,10.2,Sci-Fi;Thriller;Romance,25,Smartphone,9.99
1638,2020-04-19,54,Prime Video Channels,Madrid,23.3,Horror;Thriller;Comedy,22,Smartphone,7.99
1639,2024-02-09,33,Prime Video Estándar,Madrid,11.9,Thriller;Comedy,27,Smart TV,9.99
1640,2020-05-08,23,Prime Video Básico,Cataluña,6.0,Comedy,66,Tablet,4.99
1641,2022-04-20,13,Prime Video Básico,Madrid,16.3,Drama;Comedy,39,Console,4.99
1642,2020-09-28,8,Prime Video Básico,Andalucía,9.4,Action;Comedy,34,Smartphone,4.99
1643,2022-05-28,30,Prime Video Estándar,Madrid,1.3,Comedy,27,Smartphone,9.99
1644,2022-04-15,55,Prime Video Premium,Comunidad Valenciana,9.6,Thriller;Action;Romance,21,Smartphone,12.99
1645,2020-12-15,47,Prime Video Básico,Andalucía,18.1,Sci-Fi,37,Laptop,4.99
1646,2020-11-05,21,Prime Video Básico,Cataluña,1.1,Sci-Fi,22,Tablet,4.99
1647,2020-04-03,60,Prime Video Estándar,Comunidad Valenciana,8.5,Action,19,Smartphone,9.99
1648,2022-01-25,48,Prime Video Estándar,Madrid,12.9,Horror;Thriller;Action,46,Tablet,9.99
1649,2022-02-18,57,Prime Video Estándar,Madrid,12.9,Comedy;Action,22,Smartphone,9.99
1650,2020-03-30,45,Prime Video Básico,Murcia,23.1,Drama;Action;Horror,33,Smartphone,4.99
1651,2020-10-10,49,Prime Video Premium,Castilla y León,20.1,Thriller;Romance;Action,30,Tablet,12.99
1652,2021-01-08,51,Prime Video Básico,Andalucía,3.0,Thriller;Sci-Fi;Horror,27,Smartphone,4.99
1653,2023-07-31,12,Prime Video Básico,Aragón,21.8,Drama;Thriller;Sci-Fi,66,Tablet,4.99
1654,2023-08-19,10,Prime Video Estándar,Galicia,4.9,Action;Thriller;Comedy,33,Smart TV,9.99
1655,2020-09-21,9,Prime Video Premium,Castilla y León,5.1,Action,37,Tablet,12.99
1656,2023-11-15,57,Prime Video Básico,Madrid,22.0,Action,24,Smart TV,4.99
1657,2020-10-22,36,Prime Video Estándar,Castilla y León,5.1,Sci-Fi;Drama,26,Smartphone,9.99
1658,2021-03-23,12,Prime Video Básico,Andalucía,7.6,Romance,28,Tablet,4.99
1659,2020-01-21,44,Prime Video Básico,Cataluña,22.3,Horror;Romance,23,Tablet,4.99
1660,2023-11-21,17,Prime Video Estándar,Cataluña,22.0,Comedy,28,Smartphone,9.99
1661,2023-01-18,23,Alquiler de películas,Madrid,19.5,Romance;Comedy;Sci-Fi,40,Smart TV,3.99
1662,2021-04-04,19,Prime Video Estándar,Madrid,10.5,Action,35,Smartphone,9.99
1663,2022-10-03,32,Prime Video Estándar,Castilla y León,15.1,Sci-Fi;Drama;Horror,35,Smartphone,9.99
1664,2020-05-28,37,Prime Video Básico,Galicia,12.1,Drama;Action;Comedy,25,Smartphone,4.99
1665,2022-09-20,12,Prime Video Estándar,Madrid,13.5,Sci-Fi;Action;Thriller,29,Smartphone,9.99
1666,2022-03-02,39,Prime Video Básico,Andalucía,11.0,Action,38,Smartphone,4.99
1667,2021-08-11,15,Prime Video Estándar,Andalucía,15.1,Sci-Fi;Drama;Comedy,68,Smartphone,9.99
1668,2020-08-23,38,Prime Video Básico,Madrid,12.3,Action;Horror;Thriller,49,Smartphone,4.99
1669,2022-02-09,28,Prime Video Básico,Andalucía,20.0,Drama,26,Smart TV,4.99
1670,2022-06-12,53,Prime Video Premium,Cataluña,8.6,Romance;Sci-Fi,24,Tablet,12.99
1671,2024-08-23,6,Prime Video Básico,Andalucía,9.4,Action;Romance;Comedy,35,Tablet,4.99
1672,2021-01-14,30,Prime Video Estándar,Madrid,13.0,Comedy,36,Smart TV,9.99
1673,2020-03-19,8,Prime Video Estándar,Galicia,19.1,Thriller,55,Smartphone,9.99
1674,2024-07-06,54,Prime Video Channels,Aragón,10.0,Action;Drama;Thriller,27,Smart TV,7.99
1675,2022-07-01,51,Prime Video Estándar,Madrid,13.4,Drama;Comedy,38,Tablet,9.99
1676,2022-11-14,17,Prime Video Básico,Cataluña,14.4,Drama;Romance,61,Smart TV,4.99
1677,2022-06-11,20,Prime Video Estándar,Andalucía,7.3,Comedy;Thriller;Drama,57,Laptop,9.99
1678,2023-12-17,38,Prime Video Básico,Andalucía,2.6,Romance;Drama,38,Smart TV,4.99
1679,2022-11-01,41,Prime Video Básico,Comunidad Valenciana,9.2,Action,59,Smartphone,4.99
1680,2024-05-31,36,Prime Video Estándar,Madrid,10.0,Sci-Fi;Horror,29,Smartphone,9.99
1681,2024-04-28,9,Prime Video Channels,Cataluña,14.6,Horror,33,Smart TV,7.99
1682,2024-12-09,43,Prime Video Básico,Galicia,4.9,Horror,35,Smartphone,4.99
1683,2021-03-01,33,Prime Video Estándar,Cataluña,15.2,Comedy;Horror,34,Tablet,9.99
1684,2024-08-17,23,Prime Video Básico,Castilla y León,17.3,Sci-Fi,25,Smartphone,4.99
1685,2020-10-13,55,Prime Video Básico,País Vasco,10.8,Romance,35,Smartphone,4.99
1686,2022-08-21,9,Prime Video Estándar,Comunidad Valenciana,18.1,Drama,32,Tablet,9.99
1687,2022-05-24,15,Prime Video Básico,Comunidad Valenciana,18.1,Horror,29,Smartphone,4.99
1688,2024-10-26,48,Prime Video Básico,Madrid,5.8,Horror;Action;Romance,49,Smartphone,4.99
1689,2024-09-25,25,Prime Video Premium,Galicia,21.1,Romance;Horror,37,Smartphone,12.99
1690,2020-05-19,47,Prime Video Premium,Castilla y León,6.5,Comedy;Thriller,30,Smartphone,12.99
1691,2020-12-10,3,Prime Video Básico,Madrid,8.5,Romance;Comedy,60,Smartphone,4.99
